Country,code,treaty,year_of_ratification,discrimination_illegal,women_in_parliament
Monaco,MCO,Ratified,2016,NA,NA
Mongolia,MNG,Ratified,2002,0,17.3333333333333
Montenegro,MNE,Ratified,2006,1,22.2222222222222
Morocco,MAR,Not Signed,NA,1,20.5063291139241
Mozambique,MOZ,Ratified,2008,0,42.4
Myanmar,MMR,Not Signed,NA,0,16.8253968253968
Namibia,"NAM",Ratified,2000,1,43.2692307692308
Nauru,NRU,Not Signed,NA,NA,NA
Nepal,NPL,Ratified,2007,0,32.7272727272727
Netherlands,NLD,Ratified,2002,1,33.3333333333333
New Zealand,NZL,Ratified,2000,1,48.3333333333333
Nicaragua,NIC,Not Signed,NA,0,47.2527472527472
Niger,NER,Ratified,2004,1,16.9590643274854
Nigeria,NGA,Ratified,2004,0,7.22222222222222
Niue,NIU,Not Signed,NA,NA,NA
Norway,NOR,Ratified,2002,1,41.4201183431953
Oman,OMN,Not Signed,NA,0,2.32558139534884
Pakistan,PAK,Not Signed,NA,0,20.1754385964912
Palau,PLW,Not Signed,NA,0,6.25
Panama,PAN,Ratified,2001,0,22.5352112676056
Papua New Guinea,PNG,Not Signed,NA,0,0
Paraguay,PRY,Ratified,2001,0,16.25
Peru,PER,Ratified,2001,0,26.1538461538462
Philippines,PHL,Ratified,2003,0,27.9605263157895
Poland,POL,Ratified,2003,0,28.695652173913
Portugal,PRT,Ratified,2002,1,40
Qatar,QAT,Not Signed,NA,0,9.75609756097561
Republic of Korea,KOR,Ratified,2006,1,19
Republic of Moldova,MDA,Ratified,2006,1,24.7524752475248
Romania,ROU,Ratified,2003,1,21.8844984802432
Russian Federation,RUS,Ratified,2004,0,15.7777777777778
Rwanda,RWA,Ratified,2008,0,61.25
Saint Kitts and Nevis,KNA,Ratified,2006,0,25
Saint Lucia,LCA,Not Signed,NA,1,16.6666666666667
Saint Vincent and the Grenadines,VCT,Not Signed,NA,0,18.1818181818182
Samoa,WSM,Not Signed,NA,0,10
San Marino,SMR,Ratified,2005,0,33.3333333333333
Sao Tome and Principe,STP,Ratified,2017,0,23.6363636363636
Saudi Arabia,SAU,Not Signed,NA,0,19.8675496688742
Senegal,SEN,Ratified,2000,0,43.030303030303
Serbia,SRB,Ratified,2003,1,38.8
Seychelles,SYC,Ratified,2011,0,24.2424242424242
Sierra Leone,SLE,Signed But Not Ratified,NA,0,12.3287671232877
Singapore,SGP,Not Signed,NA,0,29.4736842105263
Slovakia,SVK,Ratified,2000,1,22.6666666666667
Slovenia,SVN,Ratified,2004,1,27.7777777777778
Solomon Islands,SLB,Ratified,2002,0,6.38297872340426
Somalia,SOM,Not Signed,NA,NA,NA
South Africa,ZAF,Ratified,2005,0,46.75
South Sudan,SSD,Ratified,2015,0,28.4595300261097
Spain,ESP,Ratified,2001,1,44
Sri Lanka,LKA,Ratified,2002,0,5.38116591928251
State of Palestine,PSE,Ratified,2019,0,NA
Sudan,SDN,Not Signed,NA,0,30.5164319248826
Suriname,SUR,Not Signed,NA,0,29.4117647058824
Swaziland,SWZ,Not Signed,NA,0,9.58904109589041
Sweden,SWE,Ratified,2003,1,46.9914040114613
Switzerland,CHE,Ratified,2008,1,41.5
Syrian Arab Republic,SYR,Not Signed,NA,0,11.2
Tajikistan,TJK,Ratified,2014,1,23.8095238095238
Thailand,THA,Ratified,2000,0,15.7464212678937
The former Yugoslav Republic of Macedonia,MKD,Ratified,2003,1,39.1666666666667
Timor-Leste,TLS,Ratified,2003,1,38.4615384615385
Togo,TGO,Not Signed,NA,0,18.6813186813187
Tonga,TON,Not Signed,NA,0,7.40740740740741
Trinidad and Tobago,TTO,Not Signed,NA,1,26.1904761904762
Tunisia,TUN,Ratified,2008,0,24.8847926267281
Turkey,TUR,Ratified,2002,0,17.3174872665535
Turkmenistan,TKM,Ratified,2009,NA,NA
Tuvalu,TUV,Not Signed,NA,NA,NA
Uganda,UGA,Not Signed,NA,0,34.8583877995643
Ukraine,UKR,Ratified,2003,1,20.8037825059102
United Arab Emirates,ARE,Not Signed,NA,0,50
United Kingdom of Great Britain and Northern Ireland,GBR,Ratified,2004,1,33.8461538461538
United Republic of Tanzania,TZA,Ratified,2006,1,36.71875
United States of America,USA,Not Signed,NA,1,27.4647887323944
Uruguay,URY,Ratified,2001,1,21.2121212121212
Uzbekistan,UZB,Not Signed,NA,0,32
Vanuatu,VUT,Ratified,2007,0,0
Venezuela (Bolivarian Republic of),VEN,Ratified,2002,1,22.1556886227545
Viet Nam,VNM,Not Signed,NA,1,26.7206477732794
Yemen,YEM,Not Signed,NA,0,0.332225913621262
Zambia,ZMB,Signed But Not Ratified,NA,0,16.7664670658683
Zimbabwe,ZWE,Not Signed,NA,1,31.8518518518519
NA,NA,Not Signed,NA,NA,NA
Definitions and metadata: http://www.ohchr.org/Documents/Issues/HRIndicators/MetadataRatificationStatus.pdf,NA,Not Signed,NA,NA,NA
Source: Database of the United Nations Office of Legal Affairs (OLA) http://untreaty.un.org/ola,NA,Not Signed,NA,NA,NA
